FACID	JURISID	JURISSIZE	WEIGHT	NAME	YEAR	CONFPOP	CONFPOP_FLAG	NCONPOP	NCONPOP_FLAG	TOTPOP	TOTPOP_FLAG	WEEK	WEEK_FLAG	WEEKN	WEEKN_FLAG	NONCITZ	NONCITZ_FLAG	ADULTM	ADULTM_FLAG	ADULTF	ADULTF_FLAG	JUVM	JUVM_FLAG	JUVF	JUVF_FLAG	TOTGENDER	TOTGENDER_FLAG	ADLTJUV	ADLTJUV_FLAG	CONV	CONV_FLAG	CONVUNSENT	CONVUNSENT_FLAG	CONVSENT	CONVSENT_FLAG	UNCONV	UNCONV_FLAG	UNCONVTRIAL	UNCONVTRIAL_FLAG	UNCONVHOLD	UNCONVHOLD_FLAG	UNCONVOTHER	UNCONVOTHER_FLAG	TOTCONVSTATUS	TOTCONVSTATUS_FLAG	FELONY	FELONY_FLAG	MISD	MISD_FLAG	OTHEROFFSPEC	OTHEROFF	OTHEROFF_FLAG	TOTOFF	TOTOFF_FLAG	WHITE	WHITE_FLAG	BLACK	BLACK_FLAG	HISP	HISP_FLAG	AIAN	AIAN_FLAG	ASIAN	ASIAN_FLAG	NHOPI	NHOPI_FLAG	TWORACE	TWORACE_FLAG	OTHERRACESPEC	OTHERRACE	OTHERRACE_FLAG	RACEDK	RACEDK_FLAG	RACETOTAL	RACETOTAL_FLAG	MARSHALS	MARSHALS_FLAG	BOP	BOP_FLAG	ICE	ICE_FLAG	BIA	BIA_FLAG	S3Q10A5SPEC	S3Q10A5	S3Q10A5_FLAG	INSTATEPRIS	INSTATEPRIS_FLAG	OUTSTATEPRIS	OUTSTATEPRIS_FLAG	TRIBAL	TRIBAL_FLAG	INSTATEJAIL	INSTATEJAIL_FLAG	OUTSTATEJAIL	OUTSTATEJAIL_FLAG	S3Q10E	S3Q10E_FLAG	PEAKDATE	PEAKPOP	PEAKPOP_FLAG	ADPMALE	ADPMALE_FLAG	ADPFEMALE	ADPFEMALE_FLAG	ADP	ADP_FLAG	RATED	RATED_FLAG	ADMISMALE	ADMISMALE_FLAG	ADMISFEMALE	ADMISFEMALE_FLAG	ADMIS	ADMIS_FLAG	RELEASEMALE	RELEASEMALE_FLAG	RELEASEFEMALE	RELEASEFEMALE_FLAG	RELEASE	RELEASE_FLAG	EMONITOR	EMONITOR_FLAG	HOMEDETN	HOMEDETN_FLAG	COMMSRV	COMMSRV_FLAG	DAYREPORT	DAYREPORT_FLAG	PRETRIAL	PRETRIAL_FLAG	ALTWORK	ALTWORK_FLAG	TREATMENT	TREATMENT_FLAG	OTRNONCONFSPEC	OTRNONCONF	OTRNONCONF_FLAG	NONCONFD	NONCONFD_FLAG	COST	COST_FLAG	CORRSTAFF	CORRSTAFF_FLAG	CORRSTAFFMALE	CORRSTAFFMALE_FLAG	CORRSTAFFFEMALE	CORRSTAFFFEMALE_FLAG	OTHERSTAFF	OTHERSTAFF_FLAG	OTHERSTAFFMALE	OTHERSTAFFMALE_FLAG	OTHERSTAFFFEMALE	OTHERSTAFFFEMALE_FLAG	TOTALSTAFF	TOTALSTAFF_FLAG	CORRWHITE	CORRWHITE_FLAG	CORRBLACK	CORRBLACK_FLAG	CORRHISP	CORRHISP_FLAG	CORRAIAN	CORRAIAN_FLAG	CORRASIAN	CORRASIAN_FLAG	CORRNHOPI	CORRNHOPI_FLAG	CORRTWORACE	CORRTWORACE_FLAG	CORROTHERRACESPEC	CORROTHERRACE	CORROTHERRACE_FLAG	CORRRACEDK	CORRRACEDK_FLAG	CORRRACETOTAL	CORRRACETOTAL_FLAG
472127001061000000000	472127001	6	1.062226707	Richmond City Jail	2013	1183	0	11	0	1194	0	1	0	0	0	12	0	1084	0	98	0	1	0	0	0	1183	0	1	0	819	0	161	0	658	0	364	0	359	0	5	0	0	0	1183	0	617	0	566	0	 	0	0	1183	0	115	0	1042	0	0	0	22	0	3	0	1	0	0	0	 	0	0	0	0	1183	0	5	0	0	0	20	0	0	0	 	0	0	429	0	0	0	0	0	7	0	0	0	461	0	15	1324	0	1153	0	114	0	1267	0	854	0	14694	0	3449	0	18143	0	14718	0	3445	0	18163	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	11	0	28830524	0	301	0	198	0	103	0	47	0	15	0	32	0	348	0	47	0	249	0	2	0	0	0	3	0	0	0	0	0	 	0	0	0	0	301	0
112121001060200000000	112121001	6	1.138954804	Richmond Co. Corr. Inst.	2013	199	1	0	0	199	1	0	0	-1	1	0	0	199	1	0	0	0	0	0	0	199	1	0	0	199	1	0	0	199	1	0	0	0	0	0	0	0	0	199	1	199	1	0	0	 	0	0	199	1	63	1	133	1	1	1	0	0	2	1	0	0	0	0	 	0	0	0	0	199	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	199	1	211	0	0	0	211	0	215	1	283	0	0	0	283	0	-1	-1	-1	-1	307	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	-1	-1	38	3	28	3	10	3	10	3	6	3	4	3	48	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	-1	-1
341077077062000000000	341077077	2	1.0410649551	Richmond County Jail	2013	90	1	0	0	90	1	1	0	2	1	5	1	81	1	0	0	2	1	7	1	90	1	2	1	10	1	0	0	10	1	80	1	78	1	2	1	0	0	90	1	75	1	5	1	childcupport	10	1	90	1	25	1	60	1	5	1	0	0	0	0	0	0	0	0	 	0	0	0	0	90	1	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	3	1	0	0	3	1	15	90	1	75	1	8	1	83	1	67	0	275	1	125	1	400	1	230	1	150	1	380	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	1800000	1	16	0	8	0	8	0	3	0	3	0	0	0	19	0	12	0	4	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	16	0
362018045061000000000	362018045	1	1.0105075683	Richmond Heights City Jail	2013	2	0	0	0	2	0	0	0	-1	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	2	0	2	0	0	0	 	0	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	2	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	2	0	0	0	2	0	12	6	0	4	0	2	0	6	0	8	0	218	0	127	0	345	0	218	0	127	0	345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	12228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	-1	-1
192037901061000000000	192037901	6	1.1804623753	Richwood Correctional Center	2013	1079	0	0	0	1079	0	0	0	-1	1	0	0	1079	0	0	0	0	0	0	0	1079	0	0	0	1078	0	0	0	1078	0	1	0	1	0	0	0	0	0	1079	0	887	0	191	0	pre-trial	1	0	1079	0	388	0	691	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	1079	0	0	0	0	0	0	0	0	0	 	0	0	1079	0	0	0	0	0	0	0	0	0	1079	0	31	1079	0	1088	0	0	0	1088	0	1127	0	4568	0	0	0	4568	0	774	0	0	0	774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	9785249	1	88	1	64	1	24	1	30	1	12	1	18	1	118	1	18	1	70	1	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	88	1
171081081061000000000	171081081	2	1.0088702631	Riley Co. Jail	2013	63	0	0	0	63	0	1	3	0	3	-1	-1	53	0	8	0	1	0	1	0	63	0	0	0	30	0	0	0	30	0	33	0	32	0	1	0	0	0	63	0	-1	-1	-1	-1	 	-1	-1	-1	-1	47	0	13	0	3	0	0	0	0	0	0	0	0	0	 	0	0	0	0	63	0	0	0	0	0	0	0	0	0	 	0	0	9	0	0	0	0	0	0	0	0	0	9	0	28	68	0	64	0	12	0	76	0	147	0	2830	3	1211	3	4041	0	-1	-1	-1	-1	165	3	0	0	0	0	0	0	0	0	0	0	5	0	0	0	 	0	0	5	0	-1	-1	48	0	33	0	15	0	2	0	1	0	1	0	50	0	39	0	7	0	1	0	0	0	0	0	1	0	0	0	 	0	0	0	0	48	0
161080080061000000000	161080080	1	1.039356172	Ringgold Co. Jail	2013	4	0	0	0	4	0	0	0	-1	1	0	0	3	0	1	0	0	0	0	0	4	0	0	0	1	0	3	0	0	0	3	0	0	0	0	0	0	0	4	0	-1	-1	-1	-1	 	-1	-1	4	0	4	3	0	3	0	3	0	3	0	3	0	3	0	3	 	0	3	0	3	4	0	0	0	0	0	0	0	-1	-1	ourown	-1	-1	0	0	0	0	0	0	-1	-1	0	0	-1	-1	1	13	0	8	0	5	0	13	0	24	0	186	3	49	3	235	3	-1	-1	-1	-1	230	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	-1	-1	4	1	0	0	4	1	0	0	0	0	0	0	4	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	4	1
321021021061000000000	321021021	3	1.4489397203	Rio Arriba Co. Det. Ctr.	2013	145	0	0	0	145	0	0	0	-1	1	62	0	123	0	22	0	0	0	0	0	145	0	0	0	80	1	74	1	6	1	65	1	65	1	0	1	0	1	145	0	90	1	55	1	 	0	1	145	0	6	1	0	1	128	1	10	1	1	1	0	1	0	1	 	0	1	0	1	145	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	2	0	2	0	25	158	0	124	0	22	0	146	0	140	0	1853	0	530	0	2383	0	1800	1	440	1	2240	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	4500000	1	33	0	27	0	6	0	7	0	2	0	5	0	40	0	3	0	0	0	30	0	0	0	0	0	0	0	0	0	 	0	0	0	0	33	0
061052051061000000000	061052051	1	1.0644577388	Rio Blanco Co. Jail	2013	10	0	0	0	10	0	0	0	-1	1	0	0	10	0	0	0	0	0	0	0	10	0	0	0	2	0	0	0	2	0	8	0	7	0	1	0	0	0	10	0	7	0	3	0	 	0	0	10	0	8	0	1	0	1	0	0	0	0	0	0	0	0	0	 	0	0	0	0	10	0	0	0	0	0	0	0	0	0	 	0	0	1	0	0	0	0	0	0	0	1	0	2	0	24	10	0	7	0	4	0	11	0	18	0	314	0	67	0	381	0	304	0	67	0	371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	1038386	0	10	0	8	0	2	0	0	0	0	0	0	0	10	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	10	0
051034034060000002602	051034034	6	1.0840869366	Rio Cosumnes Correctional Center (RCCC)	2013	2117	0	0	0	2117	0	0	0	-1	1	265	0	1872	0	245	0	0	0	0	0	2117	0	0	0	1229	0	0	0	1229	0	888	0	580	0	43	0	265	0	2117	0	1570	0	282	0	ImmigrationHold	265	0	2117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	2117	0	2117	0	0	0	0	0	265	0	0	0	 	0	0	0	0	0	0	0	0	9	0	0	0	274	0	4	2270	0	1805	0	234	0	2039	0	2613	1	3438	0	862	0	4300	0	11326	0	2061	0	13387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	52995762	0	173	0	138	0	35	0	86	0	43	0	43	0	259	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	 	-1	-1	-1	-1	173	0
